From	To
D3DTH5	7531
D3DTH6	1398
D3DTK2	409
D3DTP9	1973
D3DTQ6	1949
D3DTR4	9212
D3DTS0	81565
D3DTS5	6416
D3DTT3	3837
D3DTW5	2793
D3DTW7	8405
D3DTX4	3675
D3DTX5	3675
D3DTZ0	8165
D3DU15	4215
D3DU32	1655
D3DU36	6091
D3DU85	9351
D3DU88	64223
D3DUD1	115
D3DUH1	7525
D3DUH8	5797
D3DUP7	23085
D3DUP8	23085
D3DUR1	7132
D3DUS5	920
D3DUU6	6515
D3DUV1	8076
D3DV03	4170
D3DV04	4170
D3DV37	6279
D3DV78	6464
D3DV85	1944
D3DVD9	1401
D3DVE0	1401
D3DVJ8	9392
D3DVL1	83637
D3DVL4	83605
D3DVL9	3484
D3DVM0	3486
D3DVM9	2887
D3DVQ0	2261
D3DVR0	6452
D3DVV8	1457
D3DVX5	5786
D3DVY2	994
D3DVY3	994
D3DVY4	994
D3DW02	5111
D3DW13	23236
D3DW16	6616
D3DW17	6616
D3DW48	84532
D3DW97	3796
D3DWA0	5295
D3DWA5	5884
D3DWB4	54880
D3DWF5	5579
D3DWQ8	5601
D3DWQ9	5601
D3DWS0	10399
D3DWS2	6898
D3DWW4	3654
D3DX13	6009
D3DX32	51586
D3DX35	1399
D3DX67	9020
D3DX88	5599
D3DX92	5599
D3DXA3	27018
D3DXB5	200933
D3DXB8	1739
D3DXB9	1739
D3DXC4	6720
D3DXC7	7156
D3DXD0	6470
D3DXD6	835
D3DXF4	3984
D3DXF5	3984
D3DXF9	7462
D3DXG3	5982
D3DXJ8	3690
D3K197	4286
D3Y5K6	3158
D3YLG5	682
D3YRV2	25898
D5LXN2	3815
D5M931	3815
D6PXK4	81
D6R919	6452
D6RCQ6	1977
D6RF89	4734
D6W565	5500
D6W580	58484
D6W584	5610
D6W5E2	7514
D6W5F4	10097
D6W5F7	200734
D6W5G2	4084
D6W5H7	10617
D6W5M8	925
D6W5Z2	53615
D6W618	1938
D6W645	9322
D6W659	5609
D7F7N5	4208
D7RX09	1832
E0AD28	23405
E0YMJ5	6927
E0YMK0	6927
E0YMK1	6927
E1CJT9	3658
E1P512	1268
E1P523	6885
E1P540	4646
E1P557	2534
E1P561	3066
E1P583	6446
E1P587	3459
E1P588	7128
E1P590	64065
E1P5A0	23118
E1P5A9	6648
E1P5E0	639
E1P5E6	2309
E1P5G9	10287
E1P5L4	3397
E1P5M2	3055
E1P5M8	22919
E1P5N1	6640
E1P5P3	83737
E1P5T9	60436
E1P5U1	84174
E1P5U2	84174
E1P5W4	5335
E1P5Y0	1434
E1P616	7529
E2CYV9	100506658
E2GH14	6934
E2GH19	6934
E2GH20	6934
E2GH24	6934
