Gene stable ID,UniProtKB Gene Name ID
ENSG00000070831,A0A494C1M1
ENSG00000070831,Q5JYX0
ENSG00000070831,A0A590UJK8
ENSG00000070831,A0A494BZX6
ENSG00000070831,A0A3B3IRV0
ENSG00000070831,P60953
ENSG00000070886,P29322
ENSG00000074964,Q5VXI4
ENSG00000074964,A0A384DVK7
ENSG00000074964,Q9HCE6
ENSG00000075151,B1AN91
ENSG00000075151,B1AN92
ENSG00000075151,A0A0A0MSA7
ENSG00000075151,A0A0U1RQK7
ENSG00000075151,O43432
ENSG00000076864,J3KPC5
ENSG00000076864,A0A024RAB5
ENSG00000076864,F2Z357
ENSG00000076864,Q5T3T0
ENSG00000076864,Q5T3T1
ENSG00000076864,X6R8W7
ENSG00000076864,A0A0A0MQY8
ENSG00000076864,P47736
ENSG00000077549,B1AK85
ENSG00000077549,B1AK88
ENSG00000077549,P47756
ENSG00000090432,A1PUM0
ENSG00000090432,Q969V5
ENSG00000090686,E9PRY5
ENSG00000090686,E9PJ93
ENSG00000090686,E9PJH5
ENSG00000090686,E9PJ87
ENSG00000090686,A0A0A0MRS6
ENSG00000090686,Q86UV5
ENSG00000116138,Q5TDG9
ENSG00000116138,Q5TDH4
ENSG00000116138,Q9Y2G8
ENSG00000116771,A0A024QZ74
ENSG00000116771,Q9BSE5
ENSG00000116786,Q5VVD7
ENSG00000116786,A0A2R8Y575
ENSG00000116786,Q8IWE5
ENSG00000116809,Q13105
ENSG00000117115,Q9Y2J8
ENSG00000117118,A0A087WWT1
ENSG00000117118,A0A087WXX8
ENSG00000117118,P21912
ENSG00000117122,A0A024RA94
ENSG00000117122,P55001
ENSG00000117148,Q9H568
ENSG00000117154,Q96ID5
ENSG00000117215,A0A087WZT4
ENSG00000117215,Q9UNK4
ENSG00000117245,A0A0A0MRS8
ENSG00000117245,Q9P2E2
ENSG00000117298,B4DKB2
ENSG00000117298,A1PUP8
ENSG00000117298,A0A024RAB0
ENSG00000117298,E9PJG1
ENSG00000117298,E9PHZ1
ENSG00000117298,E9PN99
ENSG00000117298,A0A024RAB2
ENSG00000117298,A0A3B3ISF9
ENSG00000117298,P42892
ENSG00000127463,H7C5A2
ENSG00000127463,Q5TG59
ENSG00000127463,Q8N766
ENSG00000127472,P39877
ENSG00000127481,Q5TBN9
ENSG00000127481,X6RE05
ENSG00000127481,A0A0A0MSW0
ENSG00000127481,X6R960
ENSG00000127481,Q5T4S7
ENSG00000127483,B0QZK4
ENSG00000127483,B0QZK9
ENSG00000127483,B0QZK8
ENSG00000127483,Q5SWC8
ENSG00000127483,B0QZK6
ENSG00000127483,B0QZK5
ENSG00000127483,Q5SSJ5
ENSG00000132881,Q9BU20
ENSG00000132906,Q5JRU8
ENSG00000132906,A0A087WX72
ENSG00000132906,F8VVS7
ENSG00000132906,Q5JRU2
ENSG00000132906,F8VWA5
ENSG00000132906,P55211
ENSG00000142615,P08217
ENSG00000142619,Q9ULW8
ENSG00000142623,Q9ULC6
ENSG00000142627,A0A024QZA8
ENSG00000142627,P29317
ENSG00000142632,Q5TEV0
ENSG00000142632,Q8IW93
ENSG00000142634,A0A024QZ77
ENSG00000142634,Q96C19
ENSG00000142789,B1AQ55
ENSG00000142789,P09093
ENSG00000142794,A0A087WUB7
ENSG00000142794,A0A087WUY9
ENSG00000142794,X6RCV0
ENSG00000142794,Q9H094
ENSG00000142798,A0A2R8YH07
ENSG00000142798,P98160
ENSG00000157191,D6RB24
ENSG00000157191,D6RAN6
ENSG00000157191,F6SKB8
ENSG00000157191,Q9NVZ3
ENSG00000158747,A3KFI1
ENSG00000158747,A3KFI5
ENSG00000158747,A3KFI2
ENSG00000158747,E5RFZ1
ENSG00000158747,A3KFI3
ENSG00000158747,A0A087WTY6
ENSG00000158747,A3KFI4
ENSG00000158747,P41271
ENSG00000158748,P50406
ENSG00000158786
ENSG00000158816,E9PNX8
ENSG00000158816,E9PP07
ENSG00000158816,E9PMB3
ENSG00000158816,E9PQ62
ENSG00000158816,Q5TIE3
ENSG00000158825,P32320
ENSG00000158828,Q9BXM7
ENSG00000159189,A0A024RAA7
ENSG00000159189,P02747
ENSG00000159339,B1AQ67
ENSG00000159339,Q9UM07
ENSG00000159363,H0Y953
ENSG00000159363,H0Y9K4
ENSG00000159363,H0YAI7
ENSG00000159363,H0Y8I1
ENSG00000159363,Q9NQ11
ENSG00000159423,A0A024RAC7
ENSG00000159423,Q5TF55
ENSG00000159423,P30038
ENSG00000162438,Q68DR9
ENSG00000162438,Q99895
ENSG00000162458,E7EN81
ENSG00000162458,D6R9V9
ENSG00000162458,D6RA19
ENSG00000162458,D6RAI6
ENSG00000162458,D6R9I4
ENSG00000162458,E7EWE8
ENSG00000162458,E7EPI5
ENSG00000162458,Q8WUP2
ENSG00000162460,A0PJX8
ENSG00000162461,Q6PIV7
ENSG00000162482,O95154
ENSG00000162542,A0A075B6H3
ENSG00000162542,Q5TGY1
ENSG00000162543,Q96LJ8
ENSG00000162545,Q7Z7J9
ENSG00000162551,A0A024RAB4
ENSG00000162551,P05186
ENSG00000162552,B1AJZ6
ENSG00000162552,P56705
ENSG00000169914,Q5T2D3
ENSG00000169991,J3KNZ4
ENSG00000169991,Q5TF58
ENSG00000173369,D6RGJ1
ENSG00000173369,D6R934
ENSG00000173369,A0A0A0MSV6
ENSG00000173372,A0A024RAG6
ENSG00000173372,X6RLJ0
ENSG00000173372,P02745
ENSG00000173436,A0A087WU07
ENSG00000173436,A0A3B3IRY5
ENSG00000173436,Q5TGZ0
ENSG00000173641,Q8N241
ENSG00000173641,Q68DG0
ENSG00000173641,C9J5A3
ENSG00000173641,D3YTC6
ENSG00000173641,Q9UBY9
ENSG00000178828,Q9NXI6
ENSG00000179002,Q8TE23
ENSG00000179023,Q5VTJ3
ENSG00000179051,A0A024RAC5
ENSG00000179051,Q9P258
ENSG00000183114,Q6ZT52
ENSG00000183888,Q8NEQ6
ENSG00000184677,F8WAI8
ENSG00000184677,B1AKC8
ENSG00000184677,A0A3B3IRZ6
ENSG00000184677,Q9NUA8
ENSG00000184908,A0A087X136
ENSG00000184908,Q5T5Q6
ENSG00000184908,P51801
ENSG00000185519,Q96AQ9
ENSG00000186510,P51800
ENSG00000187144,Q5VXG6
ENSG00000187144,H7C5T0
ENSG00000187144,Q7Z572
ENSG00000187942,Q5SZI1
ENSG00000187980,J3KMZ3
ENSG00000187980,Q5R387
ENSG00000188257,A0A024RA96
ENSG00000188257,A0A3B3IRX2
ENSG00000188257,P14555
ENSG00000188784,Q9NZK7
ENSG00000189410,E5RGV2
ENSG00000189410,E5RJW5
ENSG00000189410,J3KQT6
ENSG00000189410,E5RGJ3
ENSG00000189410,Q6ZV89
ENSG00000197312,H0YII4
ENSG00000197312,Q5TDH0
ENSG00000215695,Q92681
ENSG00000215704,Q5JRU4
ENSG00000215704,P08218
ENSG00000219073,A0A0A0MSA6
ENSG00000219073,P08861
ENSG00000219481,S4R2X0
ENSG00000219481,S4R2Z6
ENSG00000233954,A0A096LP55
ENSG00000244038,U3KQ84
ENSG00000244038,A0A0C4DGS1
ENSG00000244038,P39656
ENSG00000270136,R4GMY4
ENSG00000270136,R4GNA1
ENSG00000276747,Q6TGC4
ENSG00000000938,Q5TGY6
ENSG00000000938,P09769
ENSG00000001460,Q5TH77
ENSG00000001460,Q5TH74
